"celebrity_id","celebrity","notability"
358,"Danelle Umstead","Paralympic alpine skier"
359,"Bobby Bones","Radio personality"
360,"Juan Pablo Di Pace","Fuller House actor"
361,"Nikki Glaser","Comedian & podcast host"
362,"Alexis Ren","Model & social media personality"
363,"John Schneider","Actor & country music singer"
364,"Tinashe","Singer-songwriter"
365,"Nancy McKeon","The Facts of Life actress"
366,"Joe Amabile","Reality television star"
367,"DeMarcus Ware","NFL linebacker"
